"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"42633",0,0,1,10,5,10,1947,NA,0,47,0,3988,0,NA,120086.6796875,1,4,NA,NA,NA,NA,NA,NA,0,3,32,0,0,NA,1
"42686",1,1,0,12,12,7,1955,32,1804,38,53128.390625,6678,0,0,53128.390625,9,4,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"42719",0,0,1,16,10,8,1940,NA,2024,53,24148.390625,6847,0,NA,212458.8125,16,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"42747",0,0,1,15,5,12,1943,NA,2352,51,69228.390625,7050,0,NA,197300.671875,8,3,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"42755",1,0,1,16,10,9,1954,42,1974,39,132016.78125,7223,3,1,154521.359375,12,1,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"42777",0,0,1,17,8,8,1963,45,880,30,19318.390625,4307,2,1,150770.0625,3,3,NA,12,56348.390625,NA,NA,0,0,3,45,0,1,NA,1
"42812",1,0,1,14,5,12,1960,31,1880,33,93378.390625,2864,1,1,110753.5078125,13,2,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"42847",0,0,1,12,6,12,1938,NA,1365,55,64398.390625,6228,0,1,199717.28125,10,2,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"42848",0,0,1,12,9,9,1934,NA,150,59,1207.5,7025,0,1,59033.87109375,11,3,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,1
"42866",1,0,1,12,12,12,1954,31,262,39,11268.3896484375,6778,2,1,27724.19921875,NA,2,12,16,0,0,0,0,0,1,31,0,1,1,0
"42878",1,1,0,12,7,7,1950,NA,1960,43,48298.390625,5025,1,1,82106.78125,16,3,NA,NA,NA,NA,NA,NA,0,3,1,0,1,1,0
"42900",1,0,1,12,12,9,1950,NA,2064,43,41858.390625,6019,3,1,70650.0234375,16,3,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"42901",0,0,1,14,2,9,1950,NA,1250,44,12878.3896484375,6282,0,NA,109455.8515625,26,1,NA,NA,NA,NA,NA,NA,0,4,36,0,1,NA,1
"42912",1,0,1,14,7,13,1960,4,1357,33,48298.390625,5070,0,0,56250.1796875,11,2,14,14,0,0,0,0,0,4,4,0,1,1,0
"42919",1,0,1,12,12,10,1947,NA,2060,46,49908.390625,2739,0,1,68798.5234375,19,2,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"42947",1,0,1,17,5,13,1961,34,2370,33,66008.390625,12013,0,0,66008.390625,7,1,14,12,2260.43994140625,0,0,0,0,4,30,0,1,1,0
"42949",0,0,1,16,11,13,1943,NA,0,50,0,4130,1,1,112696.78125,1,4,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
"42962",0,0,1,12,12,10,1964,21,1504,29,18593.890625,12064,2,0,30551.359375,10,1,13,10,33808.390625,25758.390625,0,0,0,2,21,0,1,1,0
"42973",1,0,1,14,2,9,1969,48,1024,25,62788.390625,2546,0,0,71174.8828125,3,1,12,15,76684.296875,21136.080078125,0,0,0,2,22,0,1,1,0
"42975",1,0,1,16,8,9,1959,31,1170,34,8202.9501953125,6412,0,0,11154.080078125,10,2,12,12,0,0,0,0,0,3,9,0,1,1,0
"42997",1,0,1,14,6,9,1957,20,1994,36,58054.98828125,6743,3,1,73296.859375,9,3,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"43008",0,0,1,14,7,9,1965,13,2500,28,31966.55078125,6016,1,1,92006.671875,10,2,7,8,0,17708.390625,0,0,0,2,13,0,1,NA,1
"43036",1,0,1,16,3,10,1957,9,2000,37,0,16055,2,1,-1.61000001430511,19,2,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"43040",0,0,1,13,12,9,1965,31,0,28,0,5883,1,1,11592,6,2,12,12,72448.390625,0,0,0,0,1,31,0,0,NA,1
"43045",0,1,0,13,11,12,1960,34,NA,33,0,15163,0,1,47654.390625,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,0
"43064",1,0,1,12,12,6,1962,23,2080,31,48298.390625,12242,0,0,50223.94921875,5,3,8,NA,NA,0,0,NA,0,3,23,0,1,1,0
"43066",0,0,1,16,6,11,1957,10,1764,37,82108.390625,12287,1,1,1753067.875,10,3,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"43075",0,0,1,12,7,11,1934,NA,325,59,25096.6796875,2767,0,1,276074.75,10,3,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"43096",0,0,1,15,5,12,1962,43,2844,32,59568.390625,6722,0,1,82164.7421875,4,2,NA,NA,NA,NA,NA,NA,0,4,43,0,1,NA,1
"43099",0,0,1,13,10,11,1961,41,0,32,0,5373,2,NA,33808.390625,10,2,NA,NA,NA,NA,NA,NA,0,3,41,0,0,NA,1
"43120",0,0,1,14,6,12,1949,NA,0,44,0,3030,0,1,66645.953125,15,3,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"43132",1,0,1,16,1,13,1969,22,NA,25,NA,7189,0,0,130406.78125,NA,NA,12,12,64398.390625,48298.390625,0,0,0,2,22,1,1,NA,0
"43150",1,0,1,12,11,10,1954,42,2040,39,69228.390625,3980,3,1,86613.171875,18,2,NA,NA,NA,NA,NA,NA,0,3,42,0,0,1,0
"43161",1,0,1,16,12,11,1947,NA,2350,46,86938.390625,10575,0,1,139464.640625,29,1,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"43165",0,0,1,12,5,10,1947,NA,1960,47,20928.390625,12123,0,NA,130115.3671875,20,3,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"43181",0,0,1,17,11,12,1936,NA,910,57,24148.390625,11947,0,NA,76470.171875,24,1,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"43187",0,0,1,14,8,11,1948,NA,2205,45,48298.390625,6788,1,NA,117839.1171875,10,3,NA,NA,NA,NA,NA,NA,0,4,27,0,1,NA,1
"43196",0,0,1,17,9,13,1959,31,1505,34,99818.390625,4461,0,1,144885.515625,15,1,NA,NA,NA,NA,NA,NA,0,1,29,0,1,NA,1
"43208",1,0,1,13,10,10,1958,46,1840,35,25758.390625,4244,2,1,40407.78125,8,1,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"43220",0,0,1,12,9,11,1961,35,0,32,0,12334,3,NA,44233.140625,8,4,NA,NA,NA,NA,NA,NA,0,3,35,0,0,NA,1
"43251",0,0,1,12,11,8,1957,4,910,36,14488.3896484375,6028,2,1,100243.4296875,3,3,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"43299",1,0,1,12,5,10,1963,10,NA,31,NA,6360,0,NA,56350,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,0,1,0,0
"43314",0,0,1,12,4,10,1954,24,2128,40,22758.9609375,12283,3,NA,16962.9609375,13,3,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"43327",0,0,1,13,12,13,1952,4,2156,41,96598.390625,12572,1,NA,202855.171875,12,2,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"43338",1,0,1,11,2,13,1967,48,2448,27,41858.390625,7101,2,1,75112.9375,3,2,12,11,0,33256.16015625,0,0,0,2,48,0,1,1,0
"43355",1,0,1,12,12,13,1957,31,4080,36,321995.15625,7110,1,1,355251.34375,17,3,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"43358",1,0,1,12,9,10,1965,31,2405,28,64398.390625,5296,3,1,64414.48828125,4,3,11,12,10463.3896484375,33256.16015625,0,0,0,1,31,0,1,1,0
"43362",1,0,1,16,1,10,1951,10,2952,43,72448.390625,4455,2,1,177603.9375,18,1,NA,NA,NA,NA,NA,NA,0,3,10,0,1,1,0
"43373",1,0,1,12,3,NA,1938,NA,3250,56,38636.78125,720,0,1,41848.73046875,38,2,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"43399",1,0,1,14,5,13,1937,NA,2080,57,160996.78125,5825,0,1,337906.8125,30,1,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
